ID,con_count,trials.thisRepN,condition_tool,condition_unce,wins,lose,wins_total,lose_total,points_total_condition,points_total,score,mouse.time,response_time
IG01,1.0,0.0,WAIT,LOWU,45.0,109.0,45.0,0.0,45.0,255.0,0.0,[3.6091137000003073],3619.387899998459
IG01,1.0,1.0,WAIT,LOWU,85.0,188.0,130.0,0.0,130.0,340.0,0.6923076923076923,[1.413279299998976],1424.040199999581
IG01,1.0,2.0,WAIT,LOWU,104.0,0.0,234.0,0.0,234.0,444.0,1.0,[1.41503830000147],1425.515800001449
IG01,1.0,3.0,WAIT,LOWU,59.0,59.0,293.0,0.0,293.0,503.0,0.1538461538461538,[1.100091299998894],1109.4991999998456
IG01,1.0,4.0,WAIT,LOWU,55.0,0.0,348.0,0.0,348.0,558.0,0.0,[2.1334533999979612],2142.7301000003936
IG01,1.0,5.0,WAIT,LOWU,116.0,0.0,464.0,0.0,464.0,674.0,1.0,[2.415652299998328],2425.3926000018837
IG01,1.0,6.0,WAIT,LOWU,88.0,121.0,552.0,0.0,552.0,762.0,1.0,[3.5445421999975224],3553.9517999968957
IG01,1.0,7.0,WAIT,LOWU,70.0,58.0,622.0,0.0,622.0,832.0,0.1538461538461538,[2.5303480999973544],2540.6755000003614
IG01,1.0,8.0,WAIT,LOWU,56.0,79.0,678.0,0.0,678.0,888.0,0.0,[2.6302809999979218],2640.223700000206
IG01,1.0,9.0,WAIT,LOWU,94.0,0.0,772.0,0.0,772.0,982.0,0.6923076923076923,[1.7155367999985174],1725.0292999997037
IG01,1.0,10.0,WAIT,LOWU,96.0,0.0,868.0,0.0,868.0,1078.0,0.6923076923076923,[1.8157615999989503],1825.4840999980224
IG01,1.0,11.0,WAIT,LOWU,43.0,0.0,911.0,0.0,911.0,1121.0,0.1538461538461538,[0.8694837000002735],879.0436999988742
IG01,1.0,12.0,WAIT,LOWU,85.0,144.0,996.0,0.0,996.0,1206.0,0.6923076923076923,[1.3237469999985478],1401.185100003262
IG01,1.0,13.0,WAIT,LOWU,77.0,148.0,1073.0,0.0,1073.0,1283.0,0.6923076923076923,[1.8667998999990232],1876.1401000010082
